timestamp,cylinder number,customer,job number,grain screened,ink color,proof on ctd ink,blade mfg,cylinder division,paper,ink,direct steam,solvent type,type on cylinder,press type,press,unit number,cylinder size,paper mill location,plating tank,proof cut,viscosity,caliper,ink temperature,humifity,roughness,blade pressure,varnish pct,press speed,ink pct,solvent pct,ESA Voltage,ESA Amperage,wax,hardener,roller durometer,current density,anode space ratio,chrome content,band type
115,265,61,25503.0,2,1,2,1,1,2,2,1,0,1,2,821.0,2.0,3,2,1911.0,55.0,46.0,2,17.0,78.0,0.75,20.0,13.1,1700.0,50.5,36.4,0.0,0.0,2.5,1.0,34.0,40.0,105.0,100.0,0
116,305,61,25503.0,2,1,2,1,1,2,2,1,0,1,2,821.0,2.0,3,2,1906.7816091954023,55.0,46.0,8,15.0,80.0,0.75,20.0,6.6,1900.0,54.9,38.5,0.0,0.0,2.5,0.7,34.0,40.0,105.0,100.0,1
114,10,49,47201.0,2,1,2,1,1,2,0,1,0,1,3,815.0,9.0,1,2,1906.7816091954023,62.0,40.0,13,16.0,80.0,0.7243334970530452,30.0,6.5,1850.0,53.8,39.8,0.0,0.0,2.8,0.9,40.0,40.0,103.87,100.0,1
114,221,47,39039.0,2,1,2,1,1,2,2,1,0,1,3,816.0,9.0,1,2,1910.0,52.0,40.0,8,16.0,75.0,0.3125,30.0,5.6,1467.0,55.6,38.8,0.0,0.0,2.5,1.3,40.0,40.0,108.06,100.0,1
117,153,44,37351.0,1,1,2,1,1,2,0,1,0,1,3,816.0,2.0,3,2,1910.0,50.0,46.0,8,17.0,80.0,0.75,30.0,0.0,2100.0,57.5,42.5,5.0,0.0,2.3,0.6,35.0,40.0,106.67,100.0,1
114,227,47,38039.0,2,1,2,1,1,2,2,1,0,1,3,816.0,2.0,1,2,1910.0,50.0,40.0,6,16.8,76.0,0.4375,28.0,8.6,1467.0,53.8,37.6,5.0,0.0,2.5,0.8,40.0,40.0,103.87,100.0,1
117,300,55,35751.0,1,1,2,1,1,1,0,1,0,1,2,827.0,2.0,3,0,1911.0,50.0,46.0,8,16.5,75.0,0.75,30.0,0.0,2600.0,62.5,37.5,6.0,0.0,2.5,0.6,30.0,40.0,106.67,100.0,1
117,368,55,35751.0,1,1,2,1,1,1,0,1,0,1,2,827.0,9.0,3,1,1911.0,50.0,46.0,2,16.5,75.0,0.75,28.0,0.0,2600.0,62.5,37.5,6.0,0.0,2.5,1.1,30.0,40.0,106.67,100.0,1
118,175,49,47201.0,2,1,2,1,1,2,2,1,2,1,0,802.0,7.0,1,2,1910.0,50.0,45.0,11,12.0,70.0,0.75,60.0,0.0,1650.0,60.2,39.8,1.5,0.0,3.0,1.0,40.0,40.0,103.22,100.0,0
120,132,16,37000.0,2,1,2,1,1,2,2,1,0,1,3,815.0,2.0,1,2,1911.0,65.0,43.0,9,16.0,75.0,1.0,32.0,22.7,1750.0,45.5,31.8,0.0,0.0,3.0,1.0,38.0,40.0,106.66,100.0,1
120,136,16,37000.0,2,1,2,1,1,2,2,1,0,1,3,815.0,9.0,1,2,1910.0,65.0,43.0,2,16.0,68.0,0.75,30.0,15.5,1750.0,48.5,35.9,0.0,0.0,3.0,1.0,38.0,40.0,106.6,100.0,1
117,326,36,35539.0,2,1,2,1,1,2,2,1,0,1,2,821.0,2.0,3,2,1911.0,50.0,50.0,11,14.0,80.0,0.75,40.0,10.5,1700.0,52.6,36.8,0.0,0.0,2.5,1.0,38.0,40.0,105.0,100.0,0
121,349,35,35539.0,2,1,2,1,1,2,2,1,0,1,2,821.0,7.0,3,2,1911.0,50.0,50.0,8,15.0,70.0,1.0,30.0,10.0,1600.0,50.0,40.0,0.0,0.0,2.8,1.0,38.0,40.0,106.66,100.0,0
124,378,30,23052.0,2,1,2,1,1,2,2,1,0,1,2,821.0,7.0,3,2,1911.0,40.0,45.0,8,14.5,70.0,0.625,25.0,0.0,1500.0,59.5,40.5,0.0,0.0,2.0,1.0,40.0,40.0,100.0,100.0,0
121,308,35,35539.0,2,1,2,1,1,2,2,1,0,1,2,821.0,2.0,3,2,1911.0,50.0,43.0,6,16.0,75.0,1.0,20.0,15.8,1600.0,49.5,34.7,0.0,0.0,2.5,1.0,38.0,40.0,103.22,100.0,1
113,31,49,47201.0,1,1,2,1,1,1,0,1,0,0,1,813.0,9.0,1,2,1911.0,45.1679012345679,45.0,4,15.0,87.0,1.0,30.907563025210084,0.0,1400.0,62.5,37.5,0.0,0.0,2.5,1.0,40.0,40.0,103.22,100.0,0
126,46,38,38064.0,1,1,2,1,1,1,0,1,0,0,1,813.0,5.0,1,0,1911.0,30.0,45.0,2,14.0,65.0,0.7243334970530452,30.907563025210084,0.0,1600.0,62.5,37.5,0.0,0.0,2.5,0.8,33.0,40.0,100.0,100.0,1
126,53,38,38064.0,1,1,2,1,1,1,0,1,0,0,1,813.0,1.0,1,0,1911.0,30.0,45.0,2,15.5,65.0,0.7243334970530452,30.907563025210084,5.9,1600.0,58.8,35.3,0.0,0.0,2.5,1.8,33.0,40.0,100.0,100.0,1
123,219,62,35521.0,2,1,2,1,1,2,2,1,0,1,1,813.0,5.0,1,0,1910.0,60.0,38.0,6,16.4,64.0,0.75,30.907563025210084,11.0,1400.0,54.9,34.1,0.0,0.0,2.5,1.0,32.0,40.0,103.22,100.0,1
123,69,62,35521.0,2,1,2,1,1,2,2,1,0,1,1,813.0,1.0,1,0,1911.0,60.0,38.0,9,16.5,66.0,0.75,30.907563025210084,6.7,1400.0,56.2,37.1,0.0,0.0,1.1,1.4,32.0,40.0,103.22,100.0,1
127,373,18,37571.0,1,1,2,1,1,1,0,1,1,0,2,824.0,2.0,3,0,1911.0,50.0,45.0,4,16.0,70.0,0.8125,30.0,0.0,2400.0,58.8,41.2,0.0,0.0,1.7,1.0,30.0,40.0,107.4,100.0,1
127,383,18,35751.0,1,1,2,1,1,1,0,1,1,1,2,824.0,9.0,3,0,1911.0,40.0,45.0,2,15.0,76.0,0.8125,30.0,0.0,2400.0,62.5,37.5,0.0,0.0,1.0,1.0,30.0,40.0,107.4,100.0,1
121,281,64,37340.0,1,1,2,1,1,1,0,1,0,1,2,824.0,2.0,3,0,1911.0,30.0,43.0,2,16.3,70.0,0.8125,25.0,1.2,2200.0,58.1,40.7,4.0,0.0,2.0,1.0,30.0,40.0,96.875,100.0,1
125,192,59,35816.0,1,1,2,1,1,1,0,1,0,1,2,827.0,2.0,2,0,1911.0,40.0,41.0,2,15.8,72.0,1.0,30.0,0.0,2000.0,62.5,37.5,0.0,0.0,2.5,1.0,30.0,40.0,107.4,100.0,0
128,23,44,37352.0,1,1,2,1,1,1,0,1,0,1,2,827.0,9.0,3,3,1911.0,40.0,42.0,2,14.5,74.0,1.0,25.0,8.0,2100.0,57.5,34.5,0.0,0.0,2.3,0.7,35.0,40.0,107.4,100.0,0
129,21,44,37352.0,1,1,2,1,1,1,0,1,0,1,2,827.0,9.0,3,3,1911.0,45.0,42.0,2,14.0,70.0,1.0,20.0,8.0,1850.0,57.5,34.5,0.0,0.0,2.0,0.7,35.0,40.0,107.4,100.0,0
127,18,44,37352.0,1,1,2,1,1,2,0,1,0,1,2,827.0,9.0,3,3,1911.0,50.0,45.0,8,15.0,76.0,1.0,30.0,8.0,2150.0,57.5,34.5,0.0,0.0,2.5,1.0,35.0,40.0,107.4,100.0,1
127,13,44,37352.0,1,1,2,1,1,2,0,1,0,1,2,827.0,2.0,3,3,1911.0,50.0,45.0,8,15.2,72.0,1.0,25.0,5.9,2150.0,58.8,35.3,0.0,0.0,2.5,1.0,35.0,40.0,107.4,100.0,1
129,311,65,37080.0,1,1,2,1,1,1,0,1,0,0,2,828.0,2.0,3,0,1911.0,35.0,42.0,2,15.0,75.0,0.75,30.0,0.0,2100.0,58.8,41.2,0.0,0.0,2.0,0.8,30.0,40.0,107.4,100.0,0
122,313,5,37157.0,1,1,2,1,1,1,0,1,0,0,2,828.0,2.0,3,0,1910.0,30.0,45.0,4,17.0,70.0,0.75,35.0,0.0,2200.0,58.8,41.2,0.0,0.0,2.5,1.0,33.0,40.0,106.45,100.0,0
130,164,44,37352.0,1,1,2,1,1,2,0,1,0,1,3,815.0,2.0,3,2,1911.0,37.5,44.0,2,16.0,90.0,0.75,28.0,20.0,2050.0,45.0,35.0,0.0,0.0,2.4,0.8,35.0,40.0,107.4,100.0,1
130,159,44,37352.0,1,1,2,1,1,2,0,1,0,1,3,815.0,9.0,3,2,1911.0,37.5,44.0,2,16.5,91.0,0.75,30.0,21.7,2050.0,43.5,34.8,0.0,0.0,2.7,0.8,35.0,40.0,107.4,100.0,1
130,273,61,25507.0,2,1,2,1,1,2,2,1,0,1,2,821.0,2.0,3,2,1911.0,45.0,44.0,6,14.1,78.0,0.625,22.0,7.6,1510.0,54.3,38.0,0.0,0.0,2.5,0.7,34.0,40.0,114.28,100.0,1
130,379,61,25507.0,2,1,2,1,1,2,2,1,0,1,2,821.0,7.0,3,2,1910.0,40.0,44.0,2,14.0,69.0,0.625,20.0,8.5,1510.0,53.2,38.3,2.0,0.0,2.5,0.9,34.0,40.0,110.0,100.0,1
131,246,66,37080.0,1,1,2,1,1,1,0,1,0,0,2,828.0,2.0,3,2,1911.0,40.0,47.0,9,17.0,78.0,0.75,35.0,0.0,2400.0,58.8,41.2,4.0,0.0,2.5,1.0,30.0,40.0,100.0,100.0,0
132,168,3,27490.0,1,1,2,1,1,1,0,1,0,1,1,813.0,1.0,1,2,1911.0,30.0,42.0,2,15.4,64.0,0.875,30.907563025210084,0.0,1425.0,63.0,37.0,0.0,0.0,1.0,1.3,34.0,40.0,107.4,100.0,1
