Set,nHM,piPC09,PCD,X2Av,MLOGP,ON1V,N-072,B02[C-N],F04[C-O],logBCF,Class
1,0.0,0.0,1.49,0.14,1.35,0.72,0.0,1.0,5.0,0.74,1.0
1,0.0,0.0,1.47,0.14,1.7,0.88,0.0,1.0,5.0,0.93,1.0
1,0.0,0.0,1.2,0.25,4.14,2.06,0.0,0.0,0.0,3.24,3.0
1,0.0,0.0,1.69,0.13,1.89,0.79,0.0,1.0,8.0,-0.4,3.0
1,0.0,0.0,0.52,0.25,2.65,1.31,0.0,0.0,0.0,2.24,1.0
0,0.0,0.0,1.4,0.18,2.85,0.86,0.0,0.0,0.0,1.13,3.0
1,0.0,0.0,1.22,0.18,1.86,0.92,0.0,1.0,0.0,0.83,1.0
1,1.0,3.446,1.23,0.24,2.01,1.12,0.0,0.0,7.0,2.76,2.0
1,2.0,6.188,2.23,0.19,3.84,1.5,0.0,1.0,0.0,2.33,1.0
1,3.0,5.34,2.1,0.18,3.99,1.46,2.0,1.0,4.0,1.99,1.0
1,1.0,3.726,1.25,0.2,2.38,1.52,1.0,1.0,6.0,2.16,1.0
1,1.0,3.056,1.22,0.19,2.27,1.88,0.0,1.0,0.0,0.31,3.0
0,0.0,5.768,2.21,0.18,3.4,1.47,0.0,0.0,1.0,1.4,3.0
1,0.0,5.901,2.21,0.17,2.79,1.53,0.0,1.0,0.0,1.12,1.0
1,0.0,5.614,2.21,0.19,4.15,1.47,0.0,0.0,0.0,2.97,1.0
0,0.0,5.614,2.21,0.16,3.4,1.31,0.0,0.0,2.0,2.57,1.0
0,0.0,5.03,2.07,0.16,3.09,1.54,0.0,1.0,0.0,1.05,2.0
1,0.0,0.0,0.43,0.23,2.24,1.3,0.0,1.0,0.0,0.54,3.0
1,0.0,0.0,0.0,0.22,-0.94,1.35,0.0,1.0,6.0,0.35,1.0
0,0.0,0.0,0.0,0.28,1.0,1.8,0.0,1.0,1.0,0.23,1.0
1,0.0,0.0,0.14,0.29,2.75,2.31,0.0,0.0,2.0,2.94,3.0
1,0.0,5.03,2.09,0.18,3.39,1.64,0.0,0.0,4.0,2.48,1.0
1,0.0,0.0,1.2,0.19,2.19,1.3,0.0,1.0,0.0,1.05,1.0
1,0.0,0.0,1.19,0.23,2.24,1.24,0.0,1.0,0.0,1.05,1.0
1,5.0,6.219,2.31,0.2,5.22,1.23,0.0,0.0,2.0,3.95,3.0
1,0.0,3.878,1.11,0.25,5.09,2.98,0.0,0.0,1.0,2.57,3.0
1,0.0,6.117,2.15,0.2,3.91,3.06,0.0,0.0,10.0,3.55,3.0
0,1.0,0.0,1.39,0.19,2.37,0.73,0.0,0.0,2.0,0.32,3.0
1,0.0,0.0,1.22,0.21,3.56,1.81,0.0,0.0,0.0,2.71,1.0
0,0.0,0.0,1.53,0.17,3.39,1.06,0.0,0.0,0.0,2.48,1.0
1,0.0,0.0,1.35,0.15,1.47,1.02,0.0,1.0,4.0,0.07,1.0
1,1.0,6.389,2.4,0.15,3.33,2.03,0.0,1.0,7.0,1.53,3.0
1,0.0,0.0,1.24,0.19,2.19,1.06,0.0,0.0,1.0,1.18,1.0
1,0.0,5.662,2.17,0.14,1.05,1.16,1.0,1.0,0.0,0.3,1.0
0,2.0,0.0,1.23,0.33,3.8,0.63,0.0,0.0,0.0,2.25,1.0
1,1.0,0.0,1.23,0.24,2.3,0.64,0.0,0.0,1.0,1.21,1.0
1,0.0,0.0,1.23,0.22,2.94,1.06,0.0,0.0,0.0,1.17,3.0
1,1.0,0.0,1.23,0.22,3.21,0.84,0.0,0.0,0.0,1.8,1.0
1,2.0,0.0,1.23,0.23,3.48,0.63,0.0,0.0,0.0,2.65,1.0
1,1.0,0.0,1.23,0.2,2.13,0.68,0.0,1.0,0.0,0.72,1.0
1,1.0,0.0,1.23,0.19,2.13,0.64,0.0,0.0,1.0,1.42,1.0
1,1.0,0.0,0.0,1.05,3.47,3.43,0.0,0.0,3.0,3.92,2.0
1,2.0,0.0,0.0,0.98,2.23,0.39,0.0,0.0,0.0,0.93,1.0
0,1.0,0.0,0.24,0.38,1.67,0.41,0.0,0.0,0.0,0.5,1.0
1,1.0,0.0,0.29,0.27,-1.96,0.68,0.0,1.0,5.0,1.4,2.0
1,0.0,0.0,0.17,0.37,3.15,1.38,0.0,0.0,0.0,2.81,1.0
0,1.0,5.22,1.59,0.22,4.01,2.49,0.0,1.0,2.0,2.0,1.0
1,2.0,0.0,1.23,0.33,3.8,0.63,0.0,0.0,0.0,2.8,1.0
1,0.0,0.0,1.23,0.22,2.94,1.06,0.0,0.0,0.0,1.17,3.0
1,0.0,0.0,1.23,0.18,1.86,0.86,0.0,0.0,2.0,1.03,1.0
1,1.0,0.0,1.23,0.2,2.13,0.68,0.0,1.0,0.0,0.33,3.0
1,1.0,0.0,1.23,0.19,2.13,0.64,0.0,0.0,1.0,1.14,1.0
1,0.0,0.0,1.23,0.17,0.89,0.72,0.0,1.0,0.0,0.81,2.0
1,0.0,0.0,1.54,0.17,3.39,1.06,0.0,0.0,0.0,2.54,1.0
